Symbol,Name,Price_Intraday,Change,Percentage_Change
GTLS,"Chart Industries, Inc.",84.06,-5.02,-5.64
MYT,"Urban Tea, Inc.",1.63,-0.06,-3.55
YAYO,"YayYo, Inc.",0.2201,0,0
TANNI,TravelCenters of America LLC SR NT 8.25%2028,25.52,-0.12,-0.47
PCYO,Pure Cycle Corporation,9.32,-0.18,-1.89
YGYIP,"Youngevity International, Inc.",10.8,0.4,3.85
SRDX,"Surmodics, Inc.",35.18,-1.26,-3.46
FTNT,"Fortinet, Inc.",117.21,-2.3,-1.92
SABR,Sabre Corporation,7.08,-0.435,-5.79
GLADN,Gladstone Capital Corporation,2.12,0.05,2.42
AMCIU,AMCI Acquisition Corp.,10.42,0.12,1.17
FPAY,"FlexShopper, Inc.",1.71,0.03,1.79
CMLFU,"CM Life Sciences, Inc.",10.46,0.06,0.58
GBDC,"Golub Capital BDC, Inc.",13.5,0,0
AGNCB,AGNC Investment Corp.,,,0
SOHOB,Sotherly Hotels Inc.,5.91,0.01,0.17
DMRC,Digimarc Corporation,31.54,-1.16,-3.55
PNNT,PennantPark Investment Corporation,3.02,-0.03,-0.98
TNDM,"Tandem Diabetes Care, Inc.",116.98,-2.66,-2.22
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund ETF Shares,96.25,-0.13,-0.13
MCFT,"MasterCraft Boat Holdings, Inc.",22.77,-0.77,-3.27
AMTX,"Aemetis, Inc.",4.32,0.01,0.23
IBEX,IBEX Limited,15.14,-0.36,-2.32
GBLI,Global Indemnity Limited,26.1,0.55,2.15
SNBR,Sleep Number Corporation,70.02,0.74,1.07
DHXM,WildBrain Ltd.,,,0
BASI,"Bioanalytical Systems, Inc.",5.49,-0.04,-0.72
MRTX,"Mirati Therapeutics, Inc.",230.67,-5.93,-2.51
BPYPN,Brookfield Property Partners L.P.,19.55,-0.3,-1.51
TNXP,Tonix Pharmaceuticals Holding Corp.,0.5623,-0.006,-1.06
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",14.6,0.68,4.89
FAB,First Trust Multi Cap Value AlphaDEX Fund,49.88,-0.5255,-1.04
