Symbol,Name,Price_Intraday,Change,Percentage_Change
ASYS,"Amtech Systems, Inc.",5.46,0.14,2.63
COKE,"Coca-Cola Consolidated, Inc.",237.5,-4,-1.66
PMBC,Pacific Mercantile Bancorp,4.12,-0.08,-1.9
DRNA,"Dicerna Pharmaceuticals, Inc.",22.6,-0.34,-1.48
CBSH,"Commerce Bancshares, Inc.",62.51,-0.52,-0.83
SPI,"SPI Energy Co., Ltd.",7.84,-0.23,-2.85
MNSB,"MainStreet Bancshares, Inc.",14.94,-0.68,-4.35
FANG,"Diamondback Energy, Inc.",24.74,-1.46,-5.57
WHF,"WhiteHorse Finance, Inc.",10.42,-0.13,-1.23
TRS,TriMas Corporation,24.89,-1,-3.86
WRLSU,Pensare Acquisition Corp.,3.73,-2.03,-35.24
SURF,"Surface Oncology, Inc.",8.79,-0.7,-7.38
FBSS,"Fauquier Bankshares, Inc.",15.66,-0.06,-0.38
NWGI,"Newgioco Group, Inc.",1.52,-0.04,-2.56
REXN,"Rexahn Pharmaceuticals, Inc.",1.81,-0.02,-1.09
OIIM,O2Micro International Limited,7.25,-0.03,-0.41
PAACW,Proficient Alpha Acquisition Corp.,0.142,0.142,0
APLT,"Applied Therapeutics, Inc.",16.5,-1.84,-10.03
PBIO,"Pressure BioSciences, Inc.",1.46,0.04,2.82
RDIB,"Reading International, Inc.",17.39,0.79,4.76
RMBS,Rambus Inc.,15.02,-0.28,-1.83
ZCMD,Zhongchao Inc.,1.87,-0.04,-2.09
PHUN,"Phunware, Inc.",0.6984,0.0005,0.07
AVO,"Mission Produce, Inc.",13.68,0.49,3.71
AGNCN,AGNC Investment Corp.,23.13,-0.01,-0.04
IKNX,IKONICS Corporation,4.17,-0.01,-0.24
CNFR,"Conifer Holdings, Inc.",2.61,-0.07,-2.61
ARKR,Ark Restaurants Corp.,9.66,-0.14,-1.43
LQDT,"Liquidity Services, Inc.",8.885,-0.145,-1.61
AMAL,Amalgamated Bank,11.05,-0.74,-6.28
LSXMB,The Liberty SiriusXM Group,40.05,3.33,9.07
SMMF,"Summit Financial Group, Inc.",17.41,-0.98,-5.33
XPEL,"XPEL, Inc.",28.4,-0.36,-1.25
BNDX,Vanguard Total International Bond Index Fund ETF Shares,58.42,-0.04,-0.07
EYE,"National Vision Holdings, Inc.",44.77,-0.43,-0.95
OFSSG,OFS Capital Corporation,24.75,0.15,0.61
HEWG,iShares Currency Hedged MSCI Germany ETF,27.01,-0.03,-0.11
MYOK,"MyoKardia, Inc.",224.41,0.01,0
BOCH,Bank of Commerce Holdings,7.67,-0.32,-4.01
IBTG,iShares Trust - iShares iBonds Dec 2026 Term Treasury ETF,26.19,-0.045,-0.17
BLIN,"Bridgeline Digital, Inc.",2.22,0.11,5.21
NSSC,"Napco Security Technologies, Inc.",28.04,0.69,2.52
UMRX,Unum Therapeutics Inc.,2.35,0.01,0.43
WKHS,Workhorse Group Inc.,17.29,-0.43,-2.43
AGBA,AGBA Acquisition Limited,10.35,0.09,0.88
ISDX,Invesco RAFI Strategic Developed ex-US ETF,23.1,-0.015,-0.06
FIXX,"Homology Medicines, Inc.",9.5,-2.5,-20.83
INAQU,INSU Acquisition Corp. II,10.36,-0.11,-1.05
RADI,"Radius Global Infrastructure, Inc.",8.97,-0.19,-2.07
BIDU,"Baidu, Inc.",144,0.06,0.04
CRSR,"Corsair Gaming, Inc.",27.08,-0.7,-2.52
LRGE,ClearBridge Large Cap Growth ESG ETF,48.2523,0.2837,0.59
NERV,"Minerva Neurosciences, Inc.",3.45,0,0
MKD,Molecular Data Inc.,1.11,0.03,2.78
MSTR,MicroStrategy Incorporated,185.62,3.94,2.17
HARP,"Harpoon Therapeutics, Inc.",15.55,-0.99,-5.99
LIVN,LivaNova PLC,48.66,-0.71,-1.44
AXTI,"AXT, Inc.",6.56,0.42,6.84
TTGT,"TechTarget, Inc.",54.6,0.67,1.24
CPRT,"Copart, Inc.",123.72,-0.23,-0.19
GTEC,Greenland Technologies Holding Corporation,2.09,0.02,0.97
BBSI,"Barrett Business Services, Inc.",65.06,-1.44,-2.17
PAHC,Phibro Animal Health Corporation,17.53,-0.05,-0.28
ACLS,"Axcelis Technologies, Inc.",24.26,-1.11,-4.38
JD,"JD.com, Inc.",92.49,0.9,0.98
DYNT,Dynatronics Corporation,0.6001,0.0095,1.61
AERI,"Aerie Pharmaceuticals, Inc.",10.56,-0.17,-1.58
SND,"Smart Sand, Inc.",1.37,-0.01,-0.72
PGC,Peapack-Gladstone Financial Corporation,16.87,-0.49,-2.82
CYRN,CYREN Ltd.,0.9149,0.0089,0.98
AKU,Akumin Inc.,3.57,-0.01,-0.28
BTWNU,Bridgetown Holdings Ltd,10.11,0.01,0.1
PFC,Premier Financial Corp.,17.82,-0.43,-2.36
HOPE,"Hope Bancorp, Inc.",8.07,-0.17,-2.06
CBFV,"CB Financial Services, Inc.",19.8,-0.26,-1.3
ZIOP,"ZIOPHARM Oncology, Inc.",2.24,-0.18,-7.44
QTEC,First Trust NASDAQ-100-Technology Sector Index Fund,128.28,1.13,0.89
FYC,First Trust Small Cap Growth AlphaDEX Fund,51.45,-0.3545,-0.68
MTCR,"Metacrine, Inc.",9.35,0.14,1.52
HFBL,"Home Federal Bancorp, Inc. of Louisiana",22.71,0.1,0.44
SFM,"Sprouts Farmers Market, Inc.",20.315,0.07,0.35
EXFO,EXFO Inc.,2.7,0.03,1.12
JRJC,China Finance Online Co. Limited,8.1,0.09,1.12
VIVO,"Meridian Bioscience, Inc.",18.68,0.2,1.08
NYMX,Nymox Pharmaceutical Corporation,2.13,-0.03,-1.39
DXGE,WisdomTree Germany Hedged Equity Fund,28.19,-0.27,-0.95
MTCH,"Match Group, Inc.",132.56,-2.41,-1.79
GNLN,"Greenlane Holdings, Inc.",3.11,0.2,6.87
IBKCN,IBERIABANK Corporation,23.47,1.3,5.86
RARX,"Ra Pharmaceuticals, Inc.",47.995,0,0
RNLC,First Trust Large Cap US Equity Select ETF,25.2283,0.0033,0.01
MINDP,"Mitcham Industries, Inc.",17.5,-0.41,-2.29
CYCCP,"Cyclacel Pharmaceuticals, Inc.",5.96,0,0
FIIIW,Forum Merger III Corporation,1.3,-0.05,-3.7
TVTY,"Tivity Health, Inc.",13.93,-1.29,-8.48
EWBC,"East West Bancorp, Inc.",37.16,-0.57,-1.51
AFINP,"American Finance Trust, Inc.",23.89,-0.11,-0.46
DFPHU,DFP Healthcare Acquisitions Corp.,10.99,0.64,6.18
ILPT,Industrial Logistics Properties Trust,19.16,-0.41,-2.1
MAXNV,"Maxeon Solar Technologies, Ltd.",37.62,5.23,16.15
HTBK,Heritage Commerce Corp,7.12,-0.15,-2.06
EHTH,"eHealth, Inc.",74.29,0.2,0.27
BWB,"Bridgewater Bancshares, Inc.",10.58,-0.14,-1.31
RNDB,"Randolph Bancorp, Inc.",15.45,0.13,0.85
AUBN,"Auburn National Bancorporation, Inc.",37.32,-0.36,-0.96
BNR,Burning Rock Biotech Limited,29.04,0.08,0.28
AACQW,Artius Acquisition Inc.,1.1677,0.054,4.85
PMTS,CPI Card Group Inc.,4.16,0.48,13.04
FLNT,"Fluent, Inc.",2.67,-0.1,-3.61
MDJH,MDJM Ltd.,3.36,-0.02,-0.59
PRPO,"Precipio, Inc.",2,-0.06,-2.91
BMRA,"Biomerica, Inc.",6,0.11,1.87
ITIC,Investors Title Company,146,-5.5,-3.63
FULT,Fulton Financial Corporation,10.7,-0.22,-2.01
IMTE,Integrated Media Technology Limited,4.14,-0.46,-10
KTCC,Key Tronic Corporation,7.4,-0.03,-0.4
PAYA,FinTech Acquisition Corp. III,11.51,0.33,2.95
CIH,China Index Holdings Limited,1.45,-0.03,-2.03
SSRM,SSR Mining Inc.,20.59,-0.29,-1.39
SAMAW,Schultze Special Purpose Acquisition Corp.,0.639,0.079,14.11
RTLR,Rattler Midstream LP,6.75,0.17,2.58
ELGX,"Endologix, Inc.",0.22,-0.069,-23.88
CHI,Calamos Convertible Opportunities and Income Fund,11.73,0.11,0.95
USLB,Invesco Russell 1000 Low Beta Equal Weight ETF,33.1077,-0.1223,-0.37
OXLC,Oxford Lane Capital Corp.,4.62,-0.11,-2.33
FCNCP,"First Citizens BancShares, Inc.",26.56,-0.15,-0.56
MTEX,"Mannatech, Incorporated",16.17,0.07,0.43
NTRSP,Northern Trust Corporation,0.6675,0.0165,2.53
TMCX,Trinity Merger Corp.,0.08,0,0
GBT,"Global Blood Therapeutics, Inc.",38.21,-22.11,-36.65
AKBA,"Akebia Therapeutics, Inc.",2.38,-0.11,-4.42
BCOR,"Blucora, Inc.",10.98,0.1,0.92
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,33.9,-0.24,-0.7
ESGD,iShares ESG MSCI EAFE ETF,66.05,0.15,0.23
BAND,Bandwidth Inc.,163.44,-2.19,-1.32
KBLM,KBL Merger Corp. IV,4.99,-1.01,-16.83
JG,Aurora Mobile Limited,1.87,0.09,5.06
AESE,Allied Esports Entertainment Inc.,1.06,0.03,2.91
KBNT,"Kubient, Inc.",3.05,0.05,1.67
SNSR,Global X Internet of Things ETF,28.27,0.16,0.57
QBAK,Qualstar Corporation,2.48,-0.112,-4.32
BRPAU,Big Rock Partners Acquisition Corp.,10.2,0,0
BRP,"BRP Group, Inc.",29.96,0.96,3.31
KBWB,Invesco KBW Bank ETF,40.51,-0.81,-1.96
SVC,Service Properties Trust,7.69,-0.47,-5.76
GRAY,"Graybug Vision, Inc.",19.79,0.53,2.75
BDTX,"Black Diamond Therapeutics, Inc.",32.35,-0.83,-2.5
APYX,Apyx Medical Corporation,5.98,-0.18,-2.92
GOCO,"GoHealth, Inc.",12.15,0.47,4.02
SGMA,"SigmaTron International, Inc.",3.33,-0.1,-2.92
MARK,"Remark Holdings, Inc.",1.15,0.04,3.6
QRHC,Quest Resource Holding Corporation,1.84,-0.03,-1.6
NEPH,"Nephros, Inc.",6.02,-0.14,-2.27
NMFC,New Mountain Finance Corporation,10.4,0.01,0.1
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,30.51,-0.04,-0.13
ANIP,"ANI Pharmaceuticals, Inc.",23.69,-2.97,-11.14
ESGRO,Enstar Group Limited,26.92,-0.11,-0.41
OTRK,"Ontrak, Inc.",58.83,-9.37,-13.74
RILYP,"B. Riley Financial, Inc.",24,-0.01,-0.04
JAZZ,Jazz Pharmaceuticals plc,148.71,-3.79,-2.49
TECD,Tech Data Corporation,144.9,0,0
PLAY,"Dave & Buster's Entertainment, Inc.",18.5,-0.2,-1.07
PRNB,Principia Biopharma Inc.,100.05,0,0
PLBC,Plumas Bancorp,20.3,-0.13,-0.64
SLIM,The Obesity ETF,33.25,-2.9149,-8.06
SLS,"SELLAS Life Sciences Group, Inc.",2.67,-0.01,-0.37
RDVT,"Red Violet, Inc.",22.49,0.29,1.31
Z,"Zillow Group, Inc.",118.42,14.57,14.03
AGMH,AGM Group Holdings Inc.,14.2,0.04,0.28
ICAD,"iCAD, Inc.",9.11,-1.04,-10.25
FOCS,Focus Financial Partners Inc.,37.49,-1.75,-4.46
TCDA,"Tricida, Inc.",7.05,0.1,1.44
MBWM,Mercantile Bank Corporation,21.37,-0.84,-3.78
TRCH,"Torchlight Energy Resources, Inc.",0.2681,0.0052,1.98
VGLT,Vanguard Long-Term Treasury Index Fund ETF Shares,97.25,-1.12,-1.14
AWSM,"Cool Holdings, Inc.",0.17,-0.005,-2.86
TTCFW,,8.15,0.51,6.68
CLWT,Euro Tech Holdings Company Limited,2.91,0.09,3.19
FMBH,"First Mid Bancshares, Inc.",27.21,-1.1,-3.89
BGCP,"BGC Partners, Inc.",3.16,-0.11,-3.36
CATY,Cathay General Bancorp,23.61,-0.27,-1.13
DBVT,DBV Technologies S.A.,2.16,-0.06,-2.7
OXLCO,Oxford Lane Capital Corp.,25.1,-0.02,-0.08
CBRL,"Cracker Barrel Old Country Store, Inc.",119.94,1.31,1.1
FIXD,First Trust TCW Opportunistic Fixed Income ETF,55.12,-0.11,-0.2
NBRV,Nabriva Therapeutics plc,0.441,-0.0472,-9.67
KNSL,"Kinsale Capital Group, Inc.",207.61,2.76,1.35
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,37.77,0.3592,0.96
NOVSU,Novus Capital Corporation,13.8,0.3799,2.83
GEMP,Gemphire Therapeutics Inc.,,,0
OSPN,OneSpan Inc.,19.06,-0.33,-1.7
ALKS,Alkermes plc,17,-0.13,-0.76
NTRSO,Northern Trust Corporation,26.72,-0.24,-0.89
LPRO,"LPRO Open Lending, LLC",29.27,1.07,3.79
MBIO,"Mustang Bio, Inc.",2.7,-0.1,-3.57
NMIH,"NMI Holdings, Inc.",22.01,-0.78,-3.42
SLNOW,"Soleno Therapeutics, Inc.",0.6055,0.0355,6.23
TRHC,"Tabula Rasa HealthCare, Inc.",35.15,0.83,2.42
FSRV,FinServ Acquisition Corp.,9.95,-0.05,-0.5
IIVI,II-VI Incorporated,57.2,0.99,1.76
TANH,Tantech Holdings Ltd,2.67,-0.09,-3.26
DSGX,The Descartes Systems Group Inc,59.14,0.8,1.37
BSML,Invesco BulletShares (R) 2021 Municipal Bond ETF,25.33,0.03,0.12
PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,46.8003,0.2682,0.58
IRWD,"Ironwood Pharmaceuticals, Inc.",10.67,0.66,6.59
LNT,Alliant Energy Corporation,54.57,-0.31,-0.56
AXDX,"Accelerate Diagnostics, Inc.",9.45,-0.41,-4.16
SNES,"SenesTech, Inc.",1.42,0.01,0.71
BSDE,Invesco BulletShares (R) 2024 Emerging Markets Debt ETF,26,0,0
TIGO,Millicom International Cellular S.A.,30.16,-0.67,-2.17
PENN,"Penn National Gaming, Inc.",63.86,-1.56,-2.38
PTLA,"Portola Pharmaceuticals, Inc.",18.03,0,0
EXAS,Exact Sciences Corporation,123.97,-2.71,-2.14
WW,"WW International, Inc.",23.25,-0.26,-1.11
IIVIP,II-VI Incorporated,250.46,3.42,1.38
FNKO,"Funko, Inc.",6.05,-0.97,-13.82
LEVLP,"Level One Bancorp, Inc.",25.04,-0.36,-1.42
TFSL,TFS Financial Corporation,15.18,-0.25,-1.62
OPTT,"Ocean Power Technologies, Inc.",1.68,-0.06,-3.45
HPK,"HighPeak Energy, Inc.",4.48,-0.38,-7.82
FPXE,First Trust IPOX Europe Equity Opportunities ETF,26.7681,0.3215,1.22
JAMF,Jamf Holding Corp.,36.75,0.4,1.1
SMSI,"Smith Micro Software, Inc.",4.14,0.18,4.55
DSLV,VelocityShares 3x Inverse Silver ETN Linked to the S&P GSCI Silver Index ER,9.39,0.13,1.4
LCUT,"Lifetime Brands, Inc.",10.49,-0.47,-4.29
PNFPP,"Pinnacle Financial Partners, Inc.",26.81,-0.45,-1.65
ZGYHW,Yunhong International,0.16,0.009,5.96
MRIC,"ClearPoint Neuro, Inc.",,,0
GLACW,Greenland Technologies Holding Corp,5.97,-0.13,-2.13
KIN,"Kindred Biosciences, Inc.",3.78,-0.07,-1.82
RIDEW,,6.9,-0.1,-1.43
SLGL,Sol-Gel Technologies Ltd.,7.99,-0.1,-1.24
BPY,Brookfield Property Partners L.P.,14.05,-0.71,-4.81
SNGXW,Soligenix Inc WT ,0.5599,0.01,1.82
JCS,"Communications Systems, Inc.",3.85,-0.07,-1.79
VTWO,Vanguard Russell 2000 Index Fund ETF Shares,132.07,-1.22,-0.92
ADXS,"Advaxis, Inc.",0.37,0.0099,2.75
POAI,Predictive Oncology Inc.,0.6601,-0.0166,-2.45
HTBX,"Heat Biologics, Inc.",1.14,-0.03,-2.56
ZFGN,"Zafgen, Inc.",0.99,-0.17,-14.66
VNDA,Vanda Pharmaceuticals Inc.,11.725,-0.12,-1.01
NSIT,"Insight Enterprises, Inc.",65.49,0.59,0.91
FANH,Fanhua Inc.,15.12,-0.22,-1.43
MPWR,"Monolithic Power Systems, Inc.",357.18,0.58,0.16
CMCT,CIM Commercial Trust Corporation,8.5,0,0
PPD,"PPD, Inc.",35.84,-0.33,-0.91
PBHC,"Pathfinder Bancorp, Inc.",11.16,0.16,1.45
AKER,"Akers Biosciences, Inc.",1.87,0.05,2.75
SEEL,"Seelos Therapeutics, Inc.",0.803,-0.0172,-2.1
IPWR,Ideal Power Inc.,5.99,0.1,1.7
SEDG,"SolarEdge Technologies, Inc.",237.51,3.88,1.66
CSPI,CSP Inc.,7.16,-0.5,-6.53
BLFS,"BioLife Solutions, Inc.",33.83,2.44,7.77
GYRO,"Gyrodyne, LLC",16.62,0,0
VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,235.72,0.41,0.17
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,61.13,-0.14,-0.23
TEKKU,Tekkorp Digital Acquisition Corp.,10.04,0.06,0.6
GRMN,Garmin Ltd.,115.19,1.92,1.7
SBT,"Sterling Bancorp, Inc. (Southfield, MI)",3.39,-0.01,-0.29
RMBI,"Richmond Mutual Bancorporation, Inc.",11.1,-0.1,-0.89
AMWD,American Woodmark Corporation,91,-1.57,-1.7
BCBP,"BCB Bancorp, Inc.",9.27,-0.46,-4.73
RDI,"Reading International, Inc.",2.31,0.03,1.32
ESTR,"Estre Ambiental, Inc.",,,0
LYRA,"Lyra Therapeutics, Inc.",11,-0.24,-2.14
FCEL,"FuelCell Energy, Inc.",2.39,-0.09,-3.63
FTFT,Future FinTech Group Inc.,2,-0.02,-0.99
MBII,"Marrone Bio Innovations, Inc.",1.19,0.01,0.85
CPAA,Conyers Park II Acquisition Corp.,8.86,0.17,1.96
JASN,"Jason Industries, Inc.",0.0488,-0.0062,-11.27
INFI,"Infinity Pharmaceuticals, Inc.",1.13,0.03,2.73
CHY,Calamos Convertible and High Income Fund,12.31,0.06,0.49
MRBK,Meridian Corporation,17.9,-0.025,-0.14
PNRG,PrimeEnergy Resources Corporation,47.99,0.03,0.06
TSRI,"TSR, Inc.",6.69,0.095,1.44
RILYM,"B. Riley Financial, Inc. - 6.37",23.68,-0.08,-0.34
TGEN,Tecogen Inc.,1.14,0,0
FWRD,Forward Air Corporation,65.92,0.02,0.03
SWKH,SWK Holdings Corporation,14.74,0,0
MEIP,"MEI Pharma, Inc.",2.66,-0.13,-4.66
IRMD,IRadimed Corporation,21.86,-0.26,-1.18
TRNS,"Transcat, Inc.",30.5,-0.85,-2.71
HHHH,Wealthbridge Acquisition Limited,9.55,0.63,7.06
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,56.57,0.02,0.04
ADIL,"Adial Pharmaceuticals, Inc.",1.83,0.03,1.67
TKKS,Glory Star New Media Group Holdings Limited,52.565,-1.595,-2.94
FOMX,Foamix Pharmaceuticals Ltd.,2.99,0,0
PRN,Invesco DWA Industrials Momentum ETF,81.2301,0.0083,0.01
CKPT,"Checkpoint Therapeutics, Inc.",2.3,-0.15,-6.12
SAQNU,Software Acquisition Group Inc.,10.42,0.4,3.99
SYBT,"Stock Yards Bancorp, Inc.",37.37,-0.54,-1.42
APHA,Aphria Inc.,5.5,0.04,0.73
TFFP,"TFF Pharmaceuticals, Inc.",15.97,1.47,10.14
EBIX,"Ebix, Inc.",19.42,-0.11,-0.56
BHAT,Fujian Blue Hat Interactive Entertainment Technology Ltd.,0.8,-0.007,-0.87
PFSW,"PFSweb, Inc.",6.54,-0.78,-10.66
EDRY,EuroDry Ltd.,4.2,0.01,0.24
BCYC,Bicycle Therapeutics plc,18.49,-0.51,-2.68
MDIA,Mediaco Holding Inc.,2.65,-0.14,-5.02
SAQN,Software Acquisition Group Inc.,10.07,0.13,1.31
QNST,"QuinStreet, Inc.",17.18,0.02,0.12
SCVL,"Shoe Carnival, Inc.",33.37,-1.01,-2.94
FEX,First Trust Large Cap Core AlphaDEX Fund,67.5579,0.0348,0.05
AMST,Amesite Inc.,4.15,0.11,2.72
ISEE,"IVERIC bio, Inc.",6.3,-0.18,-2.78
ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,42.37,0.26,0.62
FNWB,First Northwest Bancorp,12.07,-0.93,-7.15
APLS,"Apellis Pharmaceuticals, Inc.",36.01,-1.06,-2.86
ARPO,"Aerpio Pharmaceuticals, Inc.",1.3,0.04,3.17
EMMA,"Emmaus Life Sciences, Inc.",0.7501,-0.0999,-11.75
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",92.1,1.86,2.06
APDNW,Applied DNA Sciences Inc Warrant,25.12,0.32,1.29
ZLAB,Zai Lab Limited,88.05,-0.65,-0.73
NVMI,Nova Measuring Instruments Ltd.,62.89,1.08,1.75
LASR,"nLIGHT, Inc.",31.49,6.26,24.81
TBK,"Triumph Bancorp, Inc.",41.58,-1.01,-2.37
DORM,"Dorman Products, Inc.",94.82,1.47,1.57
AAL,American Airlines Group Inc.,11.46,-0.14,-1.21
AFMD,Affimed N.V.,3.42,-0.22,-6.04
SONN,"Sonnet BioTherapeutics Holdings, Inc.",2.54,-0.01,-0.39
TMCXU,Trinity Merger Corp.,5.31,-0.38,-6.68
SMCI,"Super Micro Computer, Inc.",27.97,-0.72,-2.51
INCY,Incyte Corporation,83.15,-1.5,-1.77
PRAX,"Praxis Precision Medicines, Inc.",34.4,-0.56,-1.6
HRZN,Horizon Technology Finance Corporation,11.62,-0.21,-1.78
HCCHU,HL Acquisition Corp.,14.95,0,0
ABEOW,Abeona Therapeutics Inc.,0.0699,-0.0601,-46.23
ZBIO,ProShares UltraPro Short Nasdaq Biotechnology,10.0204,0,0
EVOL,"Evolving Systems, Inc.",1.18,-0.01,-0.84
PRIM,Primoris Services Corporation,20.79,1.09,5.53
MU,"Micron Technology, Inc.",55.16,0.58,1.06
BSMQ,Invesco BulletShares (R) 2026 Municipal Bond ETF,25.58,0,0
NCNA,NuCana plc,4.62,-0.08,-1.7
CCNI,"Command Center, Inc.",3.09,0.13,4.39
GLTO,"Galecto, Inc.",15.22,0.22,1.47
AY,Atlantica Yield plc,33.25,1.31,4.1
OFSSL,OFS Capital Corporation 6.375% NT 25,23.01,0.17,0.74
JCOM,"j2 Global, Inc.",78.59,-0.45,-0.57
ARGX,argenx SE,272.66,-2.07,-0.75
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,28.2825,0.105,0.37
NEBUU,Nebula Acquisition Corporation,26,2.9,12.55
HSGX,Histogenics Corporation,,,0
MDIV,First Trust Multi-Asset Diversified Income Index Fund,13.7769,-0.1044,-0.75
ATNX,"Athenex, Inc.",11.58,-0.75,-6.08
BELFA,Bel Fuse Inc.,11.43,-0.69,-5.69
DWSH,AdvisorShares Dorsey Wright Short ETF,17.1,0.34,2.03
PRFT,"Perficient, Inc.",42.77,-0.16,-0.37
CRSA,Crescent Acquisition Corp.,10.05,-0.02,-0.2
BOLD,"Audentes Therapeutics, Inc.",59.97,0,0
BSCR,Invesco BulletShares 2027 Corporate Bond ETF,22.14,-0.005,-0.02
CCBG,"Capital City Bank Group, Inc.",20.41,-0.7,-3.32
EXEL,"Exelixis, Inc.",20.71,-1.45,-6.54
LSXMK,The Liberty SiriusXM Group,38.41,-0.37,-0.95
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,34.7203,-0.3371,-0.96
GSMGW,Glory Star New Media Group Holdings Limited,0.067,0.0095,16.52
BCOM,B Communications Ltd,2.28,0.07,3.17
CUR,"Seneca Biopharma, Inc.",,,0
COMM,"CommScope Holding Company, Inc.",9.92,-0.11,-1.1
HEAR,Turtle Beach Corporation,20.76,0.03,0.14
GWGH,"GWG Holdings, Inc.",7.3,-0.15,-2.01
THCA,Tuscan Holdings Corp. II,10.01,0.04,0.4
APM,Aptorum Group Limited,2.03,-0.06,-2.87
CBLI,"Cleveland BioLabs, Inc.",3.24,-0.09,-2.7
BBQ,"BBQ Holdings, Inc.",4.29,-0.23,-5.09
IBKC,IBERIABANK Corporation,43.08,-2.46,-5.4
VIHAU,VPC Impact Acquisition Holdings,9.96,0.01,0.1
METX,Meten EdtechX Education Group Ltd.,2.64,0.21,8.64
TCRR,TCR2 Therapeutics Inc.,23.27,-0.52,-2.19
FCACU,Falcon Capital Acquisition Corp.,10.1,-0.02,-0.2
GNTX,Gentex Corporation,30.4,0.3,1
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,22.225,-0.16,-0.71
BRKL,"Brookline Bancorp, Inc.",9.75,-0.1,-1.02
LFUS,"Littelfuse, Inc.",213.29,2.01,0.95
DCOM,"Dime Community Bancshares, Inc.",11.97,-0.49,-3.93
GBLIL,Global Indemnity Limited SUB NT 47,25.92,-0.21,-0.8
GMDA,Gamida Cell Ltd.,5.85,0.05,0.86
PSM,Principal U.S. Small-MidCap Multi-Factor Core Index ETF,24.86,-0.1857,-0.74
PTF,Invesco DWA Technology Momentum ETF,127.35,2.824,2.27
MJCO,Majesco,16,0.03,0.19
ONEQ,Fidelity NASDAQ Composite Index Tracking Stock Fund,463.39,1.33,0.29
QQQJ,,27.33,0.26,0.96
WDC,Western Digital Corporation,39.81,0.66,1.69
PSNL,"Personalis, Inc.",26.4,-0.37,-1.38
SIRI,Sirius XM Holdings Inc.,6.03,-0.06,-0.99
OPNT,"Opiant Pharmaceuticals, Inc.",7.12,-0.08,-1.11
SXTC,"China SXT Pharmaceuticals, Inc.",0.3012,-0.0051,-1.67
NBAC,Newborn Acquisition Corp.,9.99,0,0
HWC,Hancock Whitney Corporation,22.43,-0.66,-2.86
GDS,GDS Holdings Limited,99.02,1.81,1.86
LWAY,"Lifeway Foods, Inc.",4.72,0.065,1.4
PPBI,"Pacific Premier Bancorp, Inc.",26.08,-0.36,-1.36
UPWK,Upwork Inc.,29.26,0.23,0.79
FSRVW,FinServ Acquisition Corp.,1,0.03,3.09
ACHN,"Achillion Pharmaceuticals, Inc.",,,0
HWCPZ,Hancock Whitney Corporation - 6,27.01,-0.14,-0.52
ITACU,"Industrial Tech Acquisitions, Inc.",10.03,0.04,0.4
HSII,"Heidrick & Struggles International, Inc.",23.28,-0.04,-0.17
TOMZ,"TOMI Environmental Solutions, Inc.",7.14,-0.15,-2.06
HCACW,Hennessy Capital Acquisition Corp. IV,1.45,-0.02,-1.36
PRAH,"PRA Health Sciences, Inc.",109.1,-4.51,-3.97
SHEN,Shenandoah Telecommunications Company,42.9,-2.46,-5.42
AEHR,Aehr Test Systems,1.27,0.04,3.25
OFED,Oconee Federal Financial Corp.,21.3,-0.1,-0.47
SLGG,"Super League Gaming, Inc.",1.72,-0.02,-1.15
VMAC,Vistas Media Acquisition Company Inc.,9.83,0,0
WINA,Winmark Corporation,171.25,-1.07,-0.62
PGEN,"Precigen, Inc.",4.91,-0.36,-6.83
MBRX,"Moleculin Biotech, Inc.",0.6961,-0.0132,-1.86
HSDT,"Helius Medical Technologies, Inc.",0.378,-0.0101,-2.6
MOTS,"Motus GI Holdings, Inc.",0.739283,-0.008116,-1.09
CPSS,"Consumer Portfolio Services, Inc.",4.01,-0.08,-1.96
MOTNU,Motion Acquisition Corp.,9.93,-0.01,-0.1
CNTG,Centogene N.V.,12.11,-0.48,-3.81
CLPT,"ClearPoint Neuro, Inc.",6.65,0.01,0.15
GROW,"U.S. Global Investors, Inc.",2.97,0.06,2.06
CTRC,Centric Brands Inc.,0.1608,-0.0802,-33.28
SNSS,"Sunesis Pharmaceuticals, Inc.",1.13,-0.05,-4.24
NMRK,"Newmark Group, Inc.",5.61,0.02,0.36
OBCI,"Ocean Bio-Chem, Inc.",15.78,-0.43,-2.65
FTOCU,FTAC Olympus Acquisition Corp.,9.97,0,0
ROST,"Ross Stores, Inc.",93.3,-1.64,-1.73
ATRI,Atrion Corporation,602.1,-1.55,-0.26
NK,"NantKwest, Inc.",8.11,-0.25,-2.99
ALCO,"Alico, Inc.",28.92,-0.29,-0.99
QFIN,"360 Finance, Inc.",12.07,0.97,8.74
